time, gyro_x, gyro_y, gyro_z, accel_x, accel_y, accel_z
[0:00:45.800000], -59, -151, 99, 2530, 2312, 16382
[0:00:45.900000], -60, -139, 90, 2731, 2612, 16332
[0:00:46], -73, -139, 96, 3075, 2452, 16328
[0:00:46.100000], -63, -144, 108, 2794, 2390, 16421
[0:00:46.200000], -60, -127, 104, 2970, 2232, 16323
[0:00:46.300000], -50, -128, 100, 2962, 2200, 16318
[0:00:46.400000], -78, -145, 115, 3266, 2301, 16460
[0:00:46.500000], -79, -139, 117, 3327, 2557, 16421
[0:00:46.600000], -78, -133, 114, 3168, 2333, 16418
[0:00:46.700000], -82, -148, 117, 3309, 2222, 16349
[0:00:46.800000], -64, -141, 103, 3118, 2458, 16341
[0:00:46.900000], -78, -137, 87, 3653, 2393, 16282
[0:00:47], -77, -128, 87, 3713, 2329, 16321
[0:00:47.100000], -67, -131, 116, 3384, 1965, 16509
[0:00:47.200000], -77, -137, 107, 3350, 2342, 16235
[0:00:47.300000], -85, -129, 103, 3671, 2121, 16479
[0:00:47.400000], -87, -134, 114, 3570, 1816, 16435
[0:00:47.500000], -70, -125, 113, 3950, 1757, 16283
[0:00:47.600000], -73, -132, 101, 3843, 2140, 16483
[0:00:47.700000], -75, -124, 96, 3946, 1713, 16307
[0:00:47.800000], -87, -128, 89, 3763, 1791, 16298
[0:00:47.900000], -101, -133, 95, 3797, 1927, 16342
[0:00:48], -93, -132, 101, 4179, 1921, 16238
[0:00:48.100000], -77, -128, 85, 3798, 1976, 16468
[0:00:48.200000], -82, -136, 94, 3885, 1661, 16477
[0:00:48.300000], -104, -138, 97, 4046, 1508, 16381
[0:00:48.400000], -95, -134, 92, 4053, 1928, 16302
[0:00:48.500000], -99, -140, 98, 4396, 1463, 16525
[0:00:48.600000], -105, -144, 101, 4094, 1695, 16266
[0:00:48.700000], -112, -139, 90, 4306, 1517, 16433
[0:00:48.800000], -86, -123, 108, 4296, 1439, 16524
[0:00:48.900000], -110, -121, 88, 4201, 1636, 16377
[0:00:49], -96, -116, 86, 4150, 1235, 16356
[0:00:49.100000], -113, -141, 108, 4207, 1587, 16244
[0:00:49.200000], -102, -133, 103, 4613, 1142, 16301
[0:00:49.300000], -119, -139, 82, 4680, 1286, 16398
[0:00:49.400000], -114, -132, 90, 4671, 1195, 16363
[0:00:49.500000], -105, -139, 104, 4544, 1132, 16293
[0:00:49.600000], -112, -117, 106, 4406, 1309, 16260
[0:00:49.700000], -96, -117, 86, 4478, 945, 16355
[0:00:49.800000], -112, -127, 99, 4646, 1246, 16347
[0:00:49.900000], -106, -112, 98, 4618, 1099, 16483
[0:00:50], -121, -128, 108, 4834, 888, 16452
[0:00:50.100000], -115, -122, 101, 4742, 926, 16497
[0:00:50.200000], -101, -111, 98, 4826, 880, 16374
[0:00:50.300000], -124, -118, 103, 4593, 1144, 16529
[0:00:50.400000], -131, -114, 83, 4600, 624, 16321
[0:00:50.500000], -108, -113, 80, 4655, 930, 16239
[0:00:50.600000], -128, -130, 87, 5052, 930, 16310
[0:00:50.700000], -133, -112, 81, 4686, 628, 16465
[0:00:50.800000], -130, -112, 81, 5073, 751, 16368
[0:00:50.900000], -131, -128, 83, 4664, 768, 16268
[0:00:51], -130, -130, 93, 4711, 731, 16321
[0:00:51.100000], -134, -112, 101, 4887, 518, 16452
[0:00:51.200000], -114, -122, 84, 4939, 732, 16264
[0:00:51.300000], -121, -119, 89, 5077, 653, 16461
[0:00:51.400000], -134, -100, 84, 4835, 485, 16451
[0:00:51.500000], -144, -119, 89, 4779, 453, 16315
[0:00:51.600000], -132, -99, 74, 5133, 328, 16436
[0:00:51.700000], -120, -111, 85, 5157, 433, 16381
[0:00:51.800000], -123, -117, 89, 5078, 72, 16319
[0:00:51.900000], -123, -95, 76, 5031, 375, 16374
[0:00:52], -123, -105, 92, 5153, 180, 16313
[0:00:52.100000], -152, -121, 83, 5032, 158, 16410
[0:00:52.200000], -145, -113, 75, 5100, 212, 16368
[0:00:52.300000], -132, -114, 81, 4839, -35, 16372
[0:00:52.400000], -139, -116, 97, 4980, -72, 16366
[0:00:52.500000], -135, -113, 77, 4807, -289, 16293
[0:00:52.600000], -149, -92, 81, 4827, -307, 16302
[0:00:52.700000], -139, -90, 80, 5242, -298, 16514
[0:00:52.800000], -145, -104, 77, 5153, -436, 16393
[0:00:52.900000], -153, -108, 96, 4865, -75, 16430
[0:00:53], -151, -113, 77, 5002, -288, 16334
[0:00:53.100000], -136, -89, 77, 5133, -477, 16450
[0:00:53.200000], -164, -92, 87, 4954, -265, 16237
[0:00:53.300000], -150, -102, 88, 4861, -262, 16422
[0:00:53.400000], -149, -86, 87, 4985, -666, 16516
[0:00:53.500000], -150, -88, 78, 5059, -716, 16309
[0:00:53.600000], -146, -109, 94, 4682, -447, 16318
[0:00:53.700000], -164, -88, 81, 4649, -556, 16248
[0:00:53.800000], -163, -107, 80, 5119, -857, 16387
[0:00:53.900000], -148, -88, 64, 4941, -884, 16271
[0:00:54], -162, -93, 90, 4769, -858, 16450
[0:00:54.100000], -151, -78, 86, 4814, -615, 16465
[0:00:54.200000], -161, -78, 84, 4855, -909, 16346
[0:00:54.300000], -168, -90, 90, 4618, -1037, 16510
[0:00:54.400000], -174, -91, 64, 4999, -1002, 16469
[0:00:54.500000], -160, -81, 61, 4842, -1166, 16250
[0:00:54.600000], -161, -94, 69, 4472, -1134, 16479
[0:00:54.700000], -164, -75, 77, 4545, -1070, 16294
[0:00:54.800000], -158, -98, 60, 4823, -1135, 16452
[0:00:54.900000], -152, -70, 68, 4457, -1260, 16425
[0:00:55], -152, -88, 79, 4776, -917, 16428
[0:00:55.100000], -167, -74, 75, 4541, -1271, 16280
[0:00:55.200000], -172, -93, 74, 4573, -1227, 16302
[0:00:55.300000], -165, -77, 63, 4768, -1253, 16425
[0:00:55.400000], -167, -91, 58, 4428, -1319, 16344
[0:00:55.500000], -165, -63, 72, 4528, -1552, 16481
[0:00:55.600000], -169, -86, 83, 4425, -1565, 16495
[0:00:55.700000], -164, -79, 67, 4560, -1207, 16283
[0:00:55.800000], -181, -74, 80, 4187, -1239, 16423
[0:00:55.900000], -167, -80, 69, 4302, -1320, 16449
[0:00:56], -174, -61, 69, 4173, -1727, 16248
[0:00:56.100000], -171, -72, 73, 4315, -1391, 16372
[0:00:56.200000], -180, -60, 82, 4126, -1706, 16524
[0:00:56.300000], -171, -70, 68, 3921, -1712, 16420
[0:00:56.400000], -176, -62, 67, 4205, -1467, 16440
[0:00:56.500000], -182, -67, 72, 3816, -1966, 16532
[0:00:56.600000], -186, -78, 70, 4155, -1706, 16401
[0:00:56.700000], -180, -63, 51, 4007, -1819, 16421
[0:00:56.800000], -172, -57, 81, 4020, -1632, 16392
[0:00:56.900000], -185, -66, 73, 4074, -2138, 16440
[0:00:57], -170, -73, 66, 4008, -1792, 16406
[0:00:57.100000], -170, -77, 69, 3644, -2189, 16516
[0:00:57.200000], -170, -57, 60, 3634, -1839, 16460
[0:00:57.300000], -197, -64, 51, 3589, -1799, 16357
[0:00:57.400000], -170, -73, 60, 3664, -2105, 16350
[0:00:57.500000], -183, -61, 77, 3482, -2306, 16414
[0:00:57.600000], -175, -57, 69, 3429, -1978, 16244
[0:00:57.700000], -192, -59, 61, 3291, -2344, 16271
[0:00:57.800000], -179, -44, 71, 3370, -2010, 16444
[0:00:57.900000], -197, -41, 74, 3322, -2287, 16522
[0:00:58], -196, -51, 72, 3334, -2362, 16244
[0:00:58.100000], -181, -45, 56, 3490, -2515, 16395
[0:00:58.200000], -193, -41, 61, 2994, -2056, 16438
[0:00:58.300000], -176, -64, 69, 3127, -2256, 16322
[0:00:58.400000], -197, -52, 67, 2987, -2134, 16368
[0:00:58.500000], -177, -59, 62, 3092, -2218, 16349
[0:00:58.600000], -203, -33, 68, 2861, -2385, 16325
[0:00:58.700000], -205, -38, 72, 2914, -2360, 16405
[0:00:58.800000], -176, -35, 67, 2732, -2648, 16431
[0:00:58.900000], -197, -53, 70, 2605, -2278, 16250
[0:00:59], -185, -49, 64, 2623, -2500, 16286
[0:00:59.100000], -183, -36, 53, 2464, -2785, 16374
[0:00:59.200000], -187, -53, 57, 2719, -2798, 16279
[0:00:59.300000], -203, -34, 66, 2643, -2475, 16377
[0:00:59.400000], -193, -41, 48, 2354, -2709, 16303
[0:00:59.500000], -182, -32, 61, 2412, -2410, 16478
[0:00:59.600000], -183, -31, 47, 2100, -2518, 16393
[0:00:59.700000], -194, -41, 65, 2448, -2680, 16500
[0:00:59.800000], -201, -32, 53, 2187, -2742, 16330
[0:00:59.900000], -184, -32, 64, 2147, -2873, 16373
[0:01:00], 69, 131, -93, 2779, 2447, 16238
[0:01:00.100000], 54, 129, -86, 3129, 2578, 16321
[0:01:00.200000], 77, 138, -73, 3333, 2264, 16446
[0:01:00.300000], 83, 151, -75, 3286, 2467, 16281
[0:01:00.400000], 66, 132, -78, 3242, 2385, 16239
[0:01:00.500000], 71, 135, -77, 3425, 2278, 16390
[0:01:00.600000], 74, 128, -87, 3330, 2253, 16514
[0:01:00.700000], 88, 137, -90, 3769, 1956, 16349
[0:01:00.800000], 72, 131, -100, 3469, 2267, 16268
[0:01:00.900000], 78, 134, -102, 3927, 2134, 16485
[0:01:01], 82, 123, -90, 3865, 2172, 16467
[0:01:01.100000], 99, 147, -107, 3951, 1853, 16507
[0:01:01.200000], 81, 136, -87, 3951, 1827, 16266
[0:01:01.300000], 96, 127, -81, 4100, 1576, 16350
[0:01:01.400000], 95, 121, -85, 4205, 1748, 16421
[0:01:01.500000], 92, 118, -89, 4053, 1641, 16507
[0:01:01.600000], 104, 120, -84, 4063, 1818, 16464
[0:01:01.700000], 82, 122, -104, 4423, 1678, 16263
[0:01:01.800000], 85, 123, -106, 4149, 1753, 16449
[0:01:01.900000], 111, 144, -105, 4164, 1295, 16325
[0:01:02], 108, 133, -111, 4187, 1617, 16451
[0:01:02.100000], 106, 137, -107, 4389, 1306, 16302
[0:01:02.200000], 100, 115, -107, 4630, 1211, 16444
[0:01:02.300000], 114, 126, -84, 4678, 1270, 16339
[0:01:02.400000], 98, 137, -102, 4639, 1253, 16314
[0:01:02.500000], 125, 120, -107, 4425, 1136, 16254
[0:01:02.600000], 107, 122, -113, 4596, 851, 16274
[0:01:02.700000], 101, 110, -94, 4535, 959, 16461
[0:01:02.800000], 107, 113, -106, 4766, 844, 16340
[0:01:02.900000], 106, 130, -116, 4935, 866, 16427
[0:01:03], 128, 132, -89, 4880, 771, 16403
[0:01:03.100000], 125, 122, -101, 5028, 772, 16424
[0:01:03.200000], 122, 127, -88, 4647, 727, 16462
[0:01:03.300000], 132, 111, -107, 4785, 785, 16357
[0:01:03.400000], 129, 110, -98, 4743, 506, 16450
[0:01:03.500000], 131, 106, -97, 4933, 425, 16446
[0:01:03.600000], 137, 112, -103, 4751, 655, 16399
[0:01:03.700000], 117, 114, -96, 4896, 232, 16487
[0:01:03.800000], 148, 126, -100, 4982, 165, 16362
[0:01:03.900000], 133, 95, -106, 5054, 394, 16243
[0:01:04], 132, 99, -101, 5200, 65, 16444
[0:01:04.100000], 153, 108, -106, 5000, 343, 16504
[0:01:04.200000], 142, 112, -103, 5129, 83, 16336
[0:01:04.300000], 157, 112, -108, 5107, -91, 16521
[0:01:04.400000], 154, 93, -96, 5001, -335, 16419
[0:01:04.500000], 145, 117, -114, 5132, -278, 16378
[0:01:04.600000], 132, 115, -101, 5168, -307, 16497
[0:01:04.700000], 152, 107, -93, 5066, -99, 16485
[0:01:04.800000], 137, 99, -108, 4967, -281, 16445
[0:01:04.900000], 164, 96, -124, 5098, -505, 16366
[0:01:05], 145, 92, -113, 5079, -592, 16250
[0:01:05.100000], 147, 108, -116, 4873, -570, 16357
[0:01:05.200000], 152, 79, -104, 4703, -728, 16472
[0:01:05.300000], 147, 87, -95, 4756, -822, 16263
[0:01:05.400000], 168, 80, -107, 4772, -537, 16311
[0:01:05.500000], 170, 87, -102, 4760, -1023, 16290
[0:01:05.600000], 164, 74, -101, 4586, -1040, 16497
[0:01:05.700000], 160, 99, -98, 4671, -1057, 16332
[0:01:05.800000], 167, 83, -115, 4495, -847, 16492
[0:01:05.900000], 165, 95, -125, 4582, -1082, 16239
[0:01:06], 177, 74, -108, 4789, -1214, 16418
[0:01:06.100000], 155, 96, -99, 4658, -1349, 16380
[0:01:06.200000], 173, 79, -127, 4471, -1457, 16358
[0:01:06.300000], 173, 93, -99, 4298, -1479, 16495
[0:01:06.400000], 166, 78, -105, 4391, -1502, 16522
[0:01:06.500000], 183, 82, -116, 4490, -1457, 16448
[0:01:06.600000], 185, 74, -129, 4328, -1243, 16453
[0:01:06.700000], 181, 74, -112, 4224, -1402, 16420
[0:01:06.800000], 171, 68, -106, 4139, -1679, 16474
[0:01:06.900000], 165, 83, -108, 4087, -1895, 16369
[0:01:07], 180, 75, -107, 3980, -1812, 16400
[0:01:07.100000], 167, 70, -123, 3899, -1945, 16287
[0:01:07.200000], 186, 65, -121, 4216, -2037, 16285
[0:01:07.300000], 174, 68, -117, 3760, -1796, 16436
[0:01:07.400000], 171, 66, -110, 3824, -2063, 16340
[0:01:07.500000], 194, 51, -128, 3908, -1927, 16472
[0:01:07.600000], 182, 64, -124, 3486, -2006, 16424
[0:01:07.700000], 175, 68, -111, 3793, -2080, 16363
[0:01:07.800000], 177, 50, -129, 3629, -2290, 16371
[0:01:07.900000], 179, 64, -129, 3535, -2056, 16359
[0:01:08], 182, 49, -107, 3504, -2256, 16278
[0:01:08.100000], 172, 61, -109, 3450, -2020, 16501
[0:01:08.200000], 191, 48, -108, 3087, -2535, 16273
[0:01:08.300000], 201, 43, -106, 2997, -2367, 16390
[0:01:08.400000], 179, 48, -125, 3178, -2298, 16471
[0:01:08.500000], 179, 53, -106, 2742, -2543, 16317
[0:01:08.600000], 179, 32, -113, 3009, -2673, 16307
[0:01:08.700000], 200, 50, -126, 2635, -2479, 16352
[0:01:08.800000], 177, 52, -128, 2952, -2363, 16240
[0:01:08.900000], 205, 52, -128, 2608, -2759, 16284
[0:01:09], 200, 36, -120, 2473, -2435, 16334
[0:01:09.100000], 200, 46, -132, 2619, -2549, 16402
[0:01:09.200000], 181, 36, -121, 2335, -2541, 16524
[0:01:09.300000], 187, 41, -131, 2379, -2921, 16331
[0:01:09.400000], 195, 38, -110, 2023, -2659, 16496
[0:01:09.500000], 195, 36, -123, 2124, -2646, 16288
[0:01:09.600000], 200, 18, -106, 1701, -3008, 16304
[0:01:09.700000], 189, 40, -133, 1704, -2612, 16476
[0:01:09.800000], 198, 39, -118, 1675, -2883, 16458
[0:01:09.900000], 192, 22, -128, 1780, -2752, 16253
[0:01:10], 205, 31, -125, 1657, -2674, 16461
[0:01:10.100000], 211, 12, -110, 1331, -2782, 16251
[0:01:10.200000], 204, 34, -116, 1324, -2995, 16499
[0:01:10.300000], 213, 16, -126, 1439, -3017, 16331
[0:01:10.400000], 183, 9, -115, 1142, -2757, 16525
[0:01:10.500000], 209, 2, -108, 1081, -2913, 16247
[0:01:10.600000], 195, 0, -132, 1019, -3058, 16260
[0:01:10.700000], 212, 17, -110, 572, -2930, 16312
[0:01:10.800000], 200, 0, -110, 449, -3154, 16366
[0:01:10.900000], 205, 7, -118, 633, -2989, 16484
[0:01:11], 187, 14, -113, 331, -3175, 16369
[0:01:11.100000], 193, 16, -134, 385, -3107, 16423
[0:01:11.200000], 199, 16, -112, 70, -3072, 16525
[0:01:11.300000], 206, 11, -118, 63, -2878, 16334
[0:01:11.400000], 200, -14, -130, -9, -3041, 16473
[0:01:11.500000], 214, -6, -132, -51, -3226, 16426
[0:01:11.600000], 209, -2, -108, -333, -2901, 16314
[0:01:11.700000], 191, -19, -119, -249, -2750, 16389
[0:01:11.800000], 196, -3, -121, -640, -2826, 16296
[0:01:11.900000], 210, -11, -112, -387, -2776, 16534
[0:01:12], 213, 5, -124, -758, -2832, 16393
[0:01:12.100000], 196, -20, -117, -893, -2769, 16459
[0:01:12.200000], 188, -28, -132, -635, -3161, 16512
[0:01:12.300000], 205, -2, -131, -1061, -2858, 16324
[0:01:12.400000], 191, -5, -110, -1191, -2776, 16408
[0:01:12.500000], 194, -26, -108, -1265, -2923, 16243
[0:01:12.600000], 204, -14, -106, -1401, -2828, 16472
[0:01:12.700000], 183, -23, -114, -1463, -2890, 16521
[0:01:12.800000], 209, -19, -111, -1327, -2677, 16285
[0:01:12.900000], 209, -34, -105, -1768, -2871, 16294
[0:01:13], 202, -41, -134, -1700, -2836, 16435
[0:01:13.100000], 196, -31, -134, -1651, -2866, 16287
[0:01:13.200000], 207, -40, -133, -2166, -2549, 16326
[0:01:13.300000], 190, -41, -130, -1791, -2556, 16295
[0:01:13.400000], 187, -17, -130, -2154, -2765, 16508
[0:01:13.500000], 207, -26, -112, -2102, -2733, 16236
[0:01:13.600000], 182, -34, -130, -2412, -2490, 16432
[0:01:13.700000], 198, -35, -107, -2511, -2804, 16334
[0:01:13.800000], 192, -35, -111, -2338, -2705, 16289
[0:01:13.900000], 179, -45, -122, -2837, -2531, 16374
[0:01:14], 206, -40, -111, -2840, -2685, 16338
[0:01:14.100000], 194, -37, -107, -2794, -2359, 16373
[0:01:14.200000], 181, -59, -132, -2970, -2683, 16257
[0:01:14.300000], 178, -59, -125, -2763, -2372, 16356
[0:01:14.400000], 176, -55, -122, -3093, -2594, 16248
[0:01:14.500000], 187, -61, -106, -3310, -2238, 16248
[0:01:14.600000], 194, -52, -108, -3277, -2134, 16349
[0:01:14.700000], 198, -43, -104, -3212, -2372, 16284
[0:01:14.800000], 201, -56, -111, -3335, -2248, 16451
[0:01:14.900000], 179, -59, -112, -3541, -2057, 16423
[0:01:15], 197, -49, -125, -3700, -2314, 16237
[0:01:15.100000], 189, -68, -123, -3624, -2030, 16450
[0:01:15.200000], 185, -55, -126, -3724, -2192, 16460
[0:01:15.300000], 183, -70, -102, -3539, -2179, 16368
[0:01:15.400000], 165, -67, -113, -3606, -1688, 16520
[0:01:15.500000], 170, -53, -118, -3947, -1774, 16409
[0:01:15.600000], 176, -75, -106, -3868, -1778, 16506
[0:01:15.700000], 176, -81, -122, -4025, -1840, 16383
[0:01:15.800000], 168, -73, -113, -3980, -1720, 16319
[0:01:15.900000], 164, -57, -119, -3961, -1841, 16427
[0:01:16], 189, -87, -106, -4378, -1658, 16246
[0:01:16.100000], 171, -69, -118, -4409, -1576, 16389
[0:01:16.200000], 183, -79, -116, -4583, -1446, 16391
[0:01:16.300000], 164, -67, -116, -4617, -1499, 16476
[0:01:16.400000], 175, -87, -104, -4699, -1439, 16304
[0:01:16.500000], 166, -64, -120, -4301, -1182, 16441
[0:01:16.600000], 154, -75, -105, -4549, -1256, 16351
[0:01:16.700000], 174, -79, -122, -4806, -1388, 16433
[0:01:16.800000], 157, -69, -108, -4640, -1148, 16240
[0:01:16.900000], 178, -84, -117, -4632, -917, 16355
[0:01:17], 157, -75, -99, -4682, -1173, 16268
[0:01:17.100000], 167, -74, -102, -4771, -708, 16383
[0:01:17.200000], 171, -87, -122, -4564, -779, 16316
[0:01:17.300000], 156, -99, -125, -4864, -952, 16508
[0:01:17.400000], 149, -99, -97, -4630, -719, 16277
[0:01:17.500000], 159, -87, -113, -4760, -492, 16263
[0:01:17.600000], 147, -109, -97, -4737, -625, 16456
[0:01:17.700000], 165, -92, -115, -4924, -315, 16245
[0:01:17.800000], 150, -106, -123, -4712, -298, 16339
[0:01:17.900000], 148, -113, -110, -4862, -188, 16496
[0:01:18], 158, -100, -105, -4870, -376, 16506
[0:01:18.100000], 151, -101, -102, -5000, -250, 16353
[0:01:18.200000], 133, -100, -96, -5141, -270, 16341
[0:01:18.300000], 160, -113, -98, -4961, -117, 16354
[0:01:18.400000], 136, -98, -114, -4829, 48, 16308
[0:01:18.500000], 150, -103, -101, -5092, -149, 16355
[0:01:18.600000], 132, -108, -102, -4837, -61, 16395
[0:01:18.700000], 136, -99, -91, -5160, -110, 16396
[0:01:18.800000], 133, -98, -101, -5137, 384, 16497
[0:01:18.900000], 137, -109, -93, -4759, 418, 16287
[0:01:19], 122, -113, -106, -5127, 159, 16254
[0:01:19.100000], 142, -118, -104, -5021, 353, 16347
[0:01:19.200000], 130, -108, -111, -5119, 396, 16334
[0:01:19.300000], 135, -110, -110, -5162, 487, 16440
[0:01:19.400000], 118, -108, -93, -4698, 570, 16392
[0:01:19.500000], 137, -105, -101, -5065, 398, 16372
[0:01:19.600000], 118, -116, -100, -4986, 750, 16398
[0:01:19.700000], 135, -107, -95, -4695, 517, 16529
[0:01:19.800000], 128, -110, -116, -5000, 790, 16534
[0:01:19.900000], 131, -117, -99, -4761, 837, 16287
[0:01:20], 128, -110, -101, -4781, 994, 16517
[0:01:20.100000], 119, -109, -106, -4571, 1193, 16511
[0:01:20.200000], 109, -137, -103, -4530, 1112, 16272
[0:01:20.300000], 120, -115, -98, -4643, 1303, 16256
[0:01:20.400000], 96, -129, -103, -4445, 1332, 16528
[0:01:20.500000], 93, -129, -92, -4331, 1118, 16460
[0:01:20.600000], 103, -130, -85, -4517, 1119, 16359
[0:01:20.700000], 93, -114, -107, -4592, 1390, 16364
[0:01:20.800000], 95, -123, -104, -4326, 1562, 16366
[0:01:20.900000], 114, -130, -95, -4550, 1663, 16254
[0:01:21], 108, -134, -106, -4323, 1782, 16509
[0:01:21.100000], 91, -126, -106, -4218, 1811, 16390
[0:01:21.200000], 79, -145, -101, -4117, 1600, 16487
[0:01:21.300000], 105, -128, -97, -4288, 1922, 16352
[0:01:21.400000], 96, -143, -81, -4043, 1544, 16444
[0:01:21.500000], 74, -133, -83, -3786, 1808, 16259
[0:01:21.600000], 73, -142, -79, -3758, 2009, 16501
[0:01:21.700000], 73, -135, -80, -4080, 1897, 16265
[0:01:21.800000], 72, -139, -81, -3983, 1729, 16456
[0:01:21.900000], 84, -135, -100, -3910, 1967, 16377
[0:01:22], 91, -148, -82, -3842, 2294, 16238
[0:01:22.100000], 70, -129, -88, -3473, 2286, 16331
[0:01:22.200000], 60, -150, -103, -3700, 2003, 16271
[0:01:22.300000], 83, -143, -81, -3592, 2133, 16443
[0:01:22.400000], 78, -129, -82, -3115, 2347, 16406
[0:01:22.500000], 60, -146, -75, -3216, 2212, 16444
[0:01:22.600000], 79, -145, -103, -2933, 2395, 16365
[0:01:22.700000], 55, -149, -90, -2838, 2210, 16260
[0:01:22.800000], 60, -128, -100, -3008, 2602, 16416
[0:01:22.900000], 61, -128, -101, -2662, 2617, 16338
[0:01:23], 65, -128, -82, -2529, 2466, 16351
[0:01:23.100000], 68, -135, -84, -2525, 2302, 16534
[0:01:23.200000], 54, -131, -77, -2553, 2655, 16464
[0:01:23.300000], 56, -155, -93, -2341, 2756, 16364
[0:01:23.400000], 55, -134, -94, -2214, 2801, 16286
[0:01:23.500000], 50, -142, -87, -2092, 2891, 16317
[0:01:23.600000], 51, -131, -81, -2166, 2577, 16271
[0:01:23.700000], 49, -150, -75, -2232, 2475, 16528
[0:01:23.800000], 41, -157, -86, -1907, 2976, 16289
[0:01:23.900000], 46, -145, -68, -1684, 3021, 16353
[0:01:24], 30, -159, -87, -1936, 2891, 16325
[0:01:24.100000], 26, -148, -77, -1619, 2657, 16431
[0:01:24.200000], 47, -162, -89, -1388, 2767, 16240
[0:01:24.300000], 28, -141, -73, -1343, 2673, 16370
[0:01:24.400000], 28, -140, -78, -1501, 3039, 16248
[0:01:24.500000], 12, -136, -69, -1390, 2897, 16417
[0:01:24.600000], 23, -160, -73, -1398, 2835, 16471
[0:01:24.700000], 21, -162, -76, -1083, 2911, 16379
[0:01:24.800000], 20, -141, -83, -831, 2825, 16259
[0:01:24.900000], 23, -137, -71, -696, 3058, 16320
[0:01:25], 27, -143, -85, -956, 2747, 16510
[0:01:25.100000], 17, -143, -83, -860, 3085, 16312
[0:01:25.200000], 17, -149, -73, -750, 3128, 16479
[0:01:25.300000], -2, -134, -59, -667, 3145, 16532
[0:01:25.400000], 8, -141, -79, -456, 2968, 16449
[0:01:25.500000], -6, -158, -77, -193, 2921, 16493
[0:01:25.600000], 5, -144, -72, -226, 3217, 16307
[0:01:25.700000], -10, -151, -73, -203, 3239, 16267
[0:01:25.800000], 0, -161, -63, 374, 3179, 16518
[0:01:25.900000], -8, -151, -80, 14, 3141, 16499
[0:01:26], -20, -163, -55, 133, 3231, 16336
[0:01:26.100000], -1, -159, -56, 456, 3000, 16349
[0:01:26.200000], 3, -140, -82, 493, 2812, 16380
[0:01:26.300000], -4, -159, -65, 453, 2956, 16393
[0:01:26.400000], -3, -147, -54, 645, 2841, 16323
[0:01:26.500000], -6, -155, -55, 1119, 3122, 16413
[0:01:26.600000], -29, -164, -60, 1055, 2778, 16519
[0:01:26.700000], -21, -142, -63, 1247, 2985, 16379
[0:01:26.800000], -32, -134, -58, 1092, 2764, 16362
[0:01:26.900000], -24, -159, -66, 1221, 2685, 16325
[0:01:27], -25, -146, -68, 1397, 2910, 16444
[0:01:27.100000], -31, -148, -62, 1572, 2815, 16375
[0:01:27.200000], -30, -133, -62, 1550, 2708, 16260
[0:01:27.300000], -22, -158, -47, 1969, 2676, 16437
[0:01:27.400000], -39, -152, -62, 1674, 2807, 16291
[0:01:27.500000], -48, -138, -73, 2066, 2956, 16409
[0:01:27.600000], -28, -152, -67, 2197, 2488, 16259
[0:01:27.700000], -51, -155, -61, 1965, 2496, 16246
[0:01:27.800000], -56, -158, -56, 2453, 2692, 16533
[0:01:27.900000], -52, -148, -53, 2289, 2892, 16329
[0:01:28], -43, -149, -63, 2644, 2534, 16259
[0:01:28.100000], -57, -143, -58, 2730, 2831, 16261
[0:01:28.200000], -64, -141, -48, 2507, 2704, 16350
[0:01:28.300000], -55, -157, -67, 2665, 2396, 16528
[0:01:28.400000], -55, -141, -63, 2920, 2569, 16317
[0:01:28.500000], -72, -136, -45, 2973, 2199, 16252
[0:01:28.600000], -71, -144, -36, 2980, 2545, 16474
[0:01:28.700000], -52, -133, -58, 3056, 2238, 16286
[0:01:28.800000], -52, -136, -60, 3374, 2451, 16386
[0:01:28.900000], -69, -144, -50, 3402, 2433, 16430
[0:01:29], -74, -135, -56, 3457, 2061, 16271
[0:01:29.100000], -64, -137, -54, 3654, 2029, 16471
[0:01:29.200000], -85, -148, -51, 3427, 2058, 16379
[0:01:29.300000], -62, -150, -60, 3602, 2298, 16454
[0:01:29.400000], -79, -124, -56, 3524, 1992, 16524
[0:01:29.500000], -77, -127, -38, 3947, 1952, 16421
[0:01:29.600000], -91, -121, -56, 3898, 2156, 16457
[0:01:29.700000], -90, -132, -33, 3793, 1901, 16363
[0:01:29.800000], -95, -125, -55, 4010, 2092, 16239
[0:01:29.900000], -86, -130, -42, 4020, 1684, 16413
[0:01:30], -82, -143, -41, 3889, 1956, 16330
[0:01:30.100000], -89, -128, -45, 3959, 1655, 16386
[0:01:30.200000], -85, -143, -37, 4291, 1812, 16330
[0:01:30.300000], -85, -131, -31, 4160, 1393, 16324
[0:01:30.400000], -110, -139, -43, 4090, 1446, 16462
[0:01:30.500000], -86, -137, -32, 4259, 1547, 16402
[0:01:30.600000], -109, -140, -45, 4283, 1413, 16254
[0:01:30.700000], -91, -123, -30, 4505, 1154, 16498
[0:01:30.800000], -120, -119, -39, 4401, 1039, 16416
[0:01:30.900000], -116, -117, -24, 4715, 1243, 16368
[0:01:31], -96, -126, -24, 4480, 1169, 16323
[0:01:31.100000], -119, -123, -24, 4554, 881, 16524
[0:01:31.200000], -128, -130, -44, 4453, 849, 16502
[0:01:31.300000], -109, -130, -15, 4967, 1224, 16271
[0:01:31.400000], -126, -128, -14, 4705, 746, 16467
[0:01:31.500000], -123, -126, -40, 4560, 1035, 16440
[0:01:31.600000], -112, -114, -31, 4879, 660, 16484
